Achillea millefolium
Allium acuminatum
Allium canadense
Allium cernuum
Allium simillimum
Ambrosia artemisiifolia
Ambrosia trifida
Amelanchier utahensis
Amphicarpaea bracteata
Amsinckia menziesii
Anaphalis margaritacea
Anemone piperi
Anthemis cotula
Asclepias incarnata
Asclepias syriaca
Asclepias verticillata
Astragalus canadensis
Balsamorhiza sagittata
Calochortus bruneaunis
Calypso bulbosa
Calystegia sepium
Camassia quamash
Campanula rotundifolia
Carduus nutans
Castilleja covilleana
Castilleja linariifolia
Centaurea cyanus
Chaenactis douglasii
Chamerion angustifolium
Chrysanthemum leucanthemum
Cichorium intybus
Cirsium hookerianum
Cirsium vulgare
Clarkia pulchella
Claytonia lanceolata
Claytonia perfoliata
Clematis hirsutissima
Clematis ligusticifolia
Clematis occidentalis
Collomia grandiflora
Collomia linearis
Cornus canadensis
Cornus sericea
Coronilla varia
Crepis intermedia
Cuscuta gronovii
Cynoglossum officinale
Cypripedium parviflorum
Datura stramonium
Daucus carota
Dianthus armeria
Echium vulgare
Equisetum laevigatum
Erigeron philadelphicus
Erigeron strigosus
Erodium cicutarium
Erythronium grandiflorum
Euonymus atropurpureus
Euphorbia marginata
Eutrochium maculatum
Fallopia japonica
Fragaria virginiana
Fritillaria pudica
Gentiana algida
Geranium carolinianum
Geranium viscosissimum
Geum canadense
Glechoma hederacea
Helenium autumnale
Helianthus annuus
Helianthus tuberosus
Hemerocallis fulva
Heracleum maximum
Hesperis matronalis
Hieracium aurantiacum
Hydrophyllum capitatum
Hymenoxys grandiflora
Hypochaeris radicata
Ipomopsis aggregata
Iris pseudacorus
Lactuca canadensis
Lactuca serriola
Lamium amplexicaule
Lamium purpureum
Lathyrus latifolius
Lilium philadelphicum
Linaria dalmatica
Linum lewisii
Lithophragma parviflorum
Lithospermum ruderale
Lobelia kalmii
Lobelia spicata
Lonicera utahensis
Lotus corniculatus
Lycopus uniflorus
Lythrum salicaria
Mahonia repens
Maianthemum racemosum
Maianthemum stellatum
Matricaria discoidea
Medicago lupulina
Melampyrum lineare
Melilotus albus
Melilotus officinalis
Mimulus guttatus
Mimulus nanus
Mitella stauropetala
Monarda fistulosa
Monotropa uniflora
Nuphar lutea
Nymphaea odorata
Oenothera biennis
Oenothera pallida
Opuntia humifusa
Orobanche uniflora
Osmorhiza longistylis
Oxalis dillenii
Paeonia brownii
Penstemon deustus
Penstemon payettensis
Peritoma serrulata
Persicaria amphibia
Persicaria punctata
Phacelia hastata
Phacelia linearis
Philadelphus lewisii
Phlox diffusa
Physostegia virginiana
Plantago lanceolata
Polemonium pulcherrimum
Polygonatum biflorum
Potentilla recta
Prunella vulgaris
Prunus americana
Prunus virginiana
Ranunculus abortivus
Ratibida columnifera
Rhus aromatica
Rosa woodsii
Rubus parviflorus
Rudbeckia hirta
Rudbeckia laciniata
Sagittaria latifolia
Sambucus nigra ssp canadensis
Sambucus nigra ssp cerulea
Sambucus racemosa
Sanguisorba minor
Saponaria officinalis
Sedum leibergii
Sedum stenopetalum
Silene latifolia
Solanum dulcamara
Solidago altissima
Stellaria media
Symphoricarpos albus
Symphyotrichum novae-angliae
Synthyris missurica
Tanacetum vulgare
Taraxacum officinale
Teucrium canadense
Thalictrum occidentale
Thermopsis montana
Toxicodendron rydbergii
Toxicoscordion paniculatum
Tragopogon dubius
Trautvetteria caroliniensis
Trifolium campestre
Trifolium eriocephalum
Trifolium incarnatum
Trifolium pratense
Trifolium repens
Trillium ovatum
Triodanis perfoliata
Triteleia grandiflora
Vaccaria hispanica
Verbascum blattaria
Verbascum thapsus
Veronica anagallis-aquatica
Veronica persica
Vinca minor
Viola canadensis
Viola purpurea
Wyethia helianthoides
